678,002173.SZ,创新医疗,,49
679,002174.SZ,游族网络,,74
680,002175.SZ,东方智造,,97
681,002176.SZ,江特电机,,71
682,002177.SZ,御银股份,,5
683,002178.SZ,延华智能,,3
684,002179.SZ,中航光电,,14
685,002180.SZ,纳思达,,26
686,002181.SZ,粤传媒,,79
687,002182.SZ,宝武镁业,,71
688,002183.SZ,怡亚通,,92
689,002184.SZ,海得控制,,57
690,002185.SZ,华天科技,,98
691,002186.SZ,全聚德,,45
692,002187.SZ,广百股份,,43
693,002188.SZ,中天服务,,9
694,002189.SZ,中光学,,14
695,002190.SZ,成飞集成,,18
696,002191.SZ,劲嘉股份,,67
697,002192.SZ,融捷股份,,71
698,002193.SZ,如意集团,,81
699,002194.SZ,武汉凡谷,,25
700,002195.SZ,岩山科技,,3
701,002196.SZ,方正电机,,102
702,002197.SZ,ST证通,,26
703,002198.SZ,嘉应制药,,44
704,002199.SZ,东晶电子,,14
705,002200.SZ,ST交投,,8
706,002201.SZ,正威新材,,10
707,002202.SZ,金风科技,,7
708,002203.SZ,海亮股份,,72
709,002204.SZ,大连重工,,53
710,002205.SZ,国统股份,,37
711,002206.SZ,海利得,,36
712,002207.SZ,准油股份,,95
713,002208.SZ,合肥城建,,4
714,002209.SZ,达意隆,,96
715,002210.SZ,飞马国际,,19
716,002211.SZ,宏达新材,,106
717,002212.SZ,天融信,,3
718,002213.SZ,大为股份,,98
719,002214.SZ,大立科技,,97
720,002215.SZ,诺普信,,40
721,002216.SZ,三全食品,,50
722,002217.SZ,*ST合泰,,14
723,002218.SZ,拓日新能,,20
724,002219.SZ,新里程,,49
725,002221.SZ,东华能源,,23
726,002222.SZ,福晶科技,,14
727,002223.SZ,鱼跃医疗,,49
728,002224.SZ,三力士,,106
729,002225.SZ,濮耐股份,,21
730,002226.SZ,江南化工,,52
731,002227.SZ,奥特迅,,7
732,002228.SZ,合兴包装,,67
733,002229.SZ,鸿博股份,,67
734,002230.SZ,科大讯飞,,3
735,002231.SZ,奥维通信,,25
736,002232.SZ,启明信息,,3
737,002233.SZ,塔牌集团,,37
738,002234.SZ,民和股份,,13
739,002235.SZ,安妮股份,,48
740,002236.SZ,大华股份,,26
741,002237.SZ,恒邦股份,,51
742,002238.SZ,天威视讯,,33
743,002239.SZ,奥特佳,,18
744,002240.SZ,盛新锂能,,71
745,002241.SZ,歌尔股份,,14
746,002242.SZ,九阳股份,,11
747,002243.SZ,力合科创,,67
748,002244.SZ,滨江集团,,4
749,002245.SZ,蔚蓝锂芯,,7
750,002246.SZ,北化股份,,52
751,002247.SZ,聚力文化,,21
752,002248.SZ,华东数控,,41
753,002249.SZ,大洋电机,,7
754,002250.SZ,联化科技,,52
755,002251.SZ,ST步步高,,84
756,002252.SZ,上海莱士,,38
757,002253.SZ,川大智胜,,3
758,002254.SZ,泰和新材,,36
