44,鹏华深圳能源REIT (180401): 鹏华深圳能源清洁能源封闭式基础设施证券投资基金关于更换评估机构- CFi.CN 中财网,http://www.cfi.net.cn/p20241218001102.html,,2024-12-18,,16,,19
45,深圳能源(000027):环保公司以公开挂牌方式实施增资扩股引进战略投资者- CFi.CN 中财网,http://www.cfi.net.cn/p20241219002979.html,,2024-12-19,,16,,19
46,深圳能源(000027):召开2025年第一次临时股东大会的通知- CFi.CN 中财网,http://www.cfi.net.cn/p20241219002978.html,,2024-12-19,,16,,19
47,深圳能源环保公司拟引进战略投资者  100%股份价值超110亿元,http://www.stcn.com/article/detail/1461217.html,,2024-12-19,,16,,19
48,富奥股份(000030):聘任公司总经理- CFi.CN 中财网,http://www.cfi.net.cn/p20241220004435.html,,2024-12-20,,18,,22
49,富奥股份(000030):监事会决议- CFi.CN 中财网,http://www.cfi.net.cn/p20241220004434.html,,2024-12-20,,18,,22
50,富奥股份(000030):董事会决议- CFi.CN 中财网,http://www.cfi.net.cn/p20241220004437.html,,2024-12-20,,18,,22
51,富奥股份(000030):召开2025年第一次临时股东大会通知- CFi.CN 中财网,http://www.cfi.net.cn/p20241220004436.html,,2024-12-20,,18,,22
52,天奇股份联手富奥股份成立新能源科技公司 共同开展电池材料再生利用业务,http://www.stcn.com/article/detail/1437277.html,,2024-12-03,,18,,22
53,富奥股份汽车热管理系统项目落户武汉经开区,https://www.163.com/dy/article/JJ21VC9605199DKK.html,,2024-12-10,,18,,22
54,"""热爱万千，大有意思""静安大悦城举办14周年庆生活动_产业资讯_行业_中金在线",http://hy.stock.cnfol.com/hangyejingcui/20241230/31086130.shtml,,2024-12-30,,2,,23
55,多家首店入驻！北京海淀大悦城即将开业-新华网,http://www.bj.xinhuanet.com/20241220/331ba2fa6c4b48a9829399088aadf01a/c.html,,2024-12-20,,2,,23
56,"静安大悦城：商业体""轻改造""，""泛二次元""带动复合消费",https://www.163.com/dy/article/JJSHJQNL0514R9P4.html,,2024-12-20,,2,,23
57,北京第四座：海淀大悦城即将开业,https://www.163.com/dy/article/JJ50GBEP0514R9OJ.html,,2024-12-12,,2,,23
58,海淀大悦城即将亮相_北京商报,https://www.bbtnews.com.cn/2024/1213/540240.shtml,,2024-12-12,,2,,23
59,"FARMER BOB绒冬假日全国首展登陆厦门大悦城
-本网原创
- 东南网",http://xm.fjsen.com/2024-12/24/content_31809432.htm,,2024-12-24,,2,,23
60,"新商场扎堆开业、老项目新装亮相，年末北京商业集中""上新""|大悦城|北京市",https://www.163.com/dy/article/JKBCK64B0512D3VJ.html,,2024-12-26,,2,,23
61,越秀大悦城·天悦海湾丨主城人才聚集地 现房生活是王道-半岛网,http://news.bandao.cn/a/1733475325099743.html,,2024-12-06,,2,,23
62,北京海淀大悦城开门迎客 海淀区同步启动跨年迎春活动,https://beijing.qianlong.com/2024/1222/8400652.shtml,,2024-12-22,,2,,23
63,"北京第四座大悦城开业 海淀""定制""城市级项目完善商业布局|中关村|城北区",https://www.163.com/dy/article/JJVE5VOM0512D3VJ.html,,2024-12-22,,2,,23
64,越秀大悦城·天悦海湾丨湾海现房生活 不负主城贵地-半岛网,http://news.bandao.cn/a/1734428420835533.html,,2024-12-18,,2,,23
65,"海淀有新""潮""，海淀大悦城开业倒计时深度解析_中华网",https://hea.china.com/article/20241211/122024_1615158.html,,2024-12-11,,2,,23
66,"北京第四座大悦城来了！""海淀大悦城""官宣12月21日开业_中华网",https://hea.china.com/article/20241211/122024_1615162.html,,2024-12-11,,2,,23
67,海淀大悦城今天开门迎客，打造故宫元素购物中心,https://www.163.com/dy/article/JJUSPMGQ0512D3VJ.html,,2024-12-21,,2,,23
68,加强国潮消费 北京第四座大悦城正式开业_北京商报,https://www.bbtnews.com.cn/2024/1221/541288.shtml,,2024-12-21,,2,,23
69,北京海淀大悦城开门迎客 打造故宫元素购物中心,https://beijing.qianlong.com/2024/1222/8400612.shtml,,2024-12-21,,2,,23
70,免费开放！重磅IP FARMER BOB绒冬假日全国首展落地厦门大悦城_中华网,https://m.tech.china.com/redian/2024/1223/122024_1620539.html,,2024-12-23,,2,,23
71,"向""新""而行 ，大悦城控股为城市打开高质量发展新空间|街区",https://www.163.com/dy/article/JIGCIKRR0519APGA.html,,2024-12-03,,2,,23
72,"北京第四座大悦城来了！""海淀大悦城""官宣12月21日开业 - 新乡网－旅游",https://www.xxrb.com.cn/html/2024/lvyou_1213/39089.html,,2024-12-13,,2,,23
73,神州数码联席董事长王冰峰：人工智能尚处在落地早期，需耐心资本加持,https://finance.sina.com.cn/roll/2024-12-26/doc-ineathxh8392181.shtml,,2024-12-25,,3,,25
74,神州数码(000034):华泰联合证券有限责任公司关于神州数码集团股份有限公司全资子公司向合营公司提供财务资助暨关联交易的核查意见- CFi.CN 中财网,http://www.cfi.net.cn/p20241216000754.html,,2024-12-16,,3,,25
75,神州数码(000034):召开2024年第四次临时股东大会的通知- CFi.CN 中财网,http://www.cfi.net.cn/p20241216000756.html,,2024-12-16,,3,,25
76,神州数码(000034):为北京神州数码置业发展有限公司提供财务资助暨关联交易- CFi.CN 中财网,http://www.cfi.net.cn/p20241216000755.html,,2024-12-16,,3,,25
77,神州数码副总裁韩智敏辞职_要闻_科技频道首页_财经网 - CAIJING.COM.CN,http://tech.caijing.com.cn/20241216/5058054.shtml,,2024-12-16,,3,,25
78,神州数码副总裁李刚：大模型幻灭低谷or波动上升？｜甲子引力,https://www.163.com/dy/article/JK6D65LA0512MLBG.html,,2024-12-24,,3,,25
79,神州数码数字化转型再获殊荣，全栈实力引领行业创新潮流-人工智能-ITBear科技资讯,http://www.itbear.com.cn/html/2024-12/622850.html,,2024-12-04,,3,,25
80,神州数码副总裁韩智敏辞职_要闻_科技频道首页_财经网 - CAIJING.COM.CN,http://tech.caijing.com.cn/20241219/5058860.shtml,,2024-12-19,,3,,25
81,神州数码第二大股东折价转让套现10亿元 前三季度扣非仅增2.1%为近9年新低,https://www.163.com/dy/article/JJPN38330530KCTU.html,,2024-12-19,,3,,25
82,神州数码联席董事长王冰峰：人工智能尚处在落地早期，需耐心资本加持,https://finance.sina.com.cn/roll/2024-12-12/doc-inczezhn9715607.shtml,,2024-12-12,,3,,25
83,神州数码联席董事长王冰峰：人工智能尚处在落地早期 需耐心资本加持,https://finance.sina.com.cn/stock/relnews/cn/2024-12-12/doc-inczezhn9723645.shtml,,2024-12-12,,3,,25
84,2024年中国生物质能发电产业供应链十大创新代表性企业：迪森股份、中国天楹、长春集团、圣元环保、伟明环保……_产经_前瞻经济学人,https://t.qianzhan.com/caijing/detail/241129-c2dc77d8.html,,2024-12-04,,19,,26
85,中国天楹(000035):2025年第一次临时股东大会增加临时提案暨股东大会补充通知- CFi.CN 中财网,http://www.cfi.net.cn/p20241226001829.html,,2024-12-26,,19,,26
86,[担保]中国天楹(000035):为子公司提供担保- CFi.CN 中财网,http://www.cfi.net.cn/p20241226001831.html,,2024-12-26,,19,,26
